subject,body
Richiesta informazioni su standard di compliance,Vorrei informazioni sugli standard di compliance supportati.
Errore nella gestione delle chiavi crittografiche,Le chiavi crittografiche non vengono gestite correttamente.
Problema di accesso ai servizi interni,Alcuni servizi interni non sono raggiungibili.
Richiesta supporto per logging centralizzato,Abbiamo bisogno di assistenza per implementare un logging centralizzato.
Errore di configurazione load balancer,Il load balancer non è configurato correttamente.
Problema di gestione patch di sicurezza,Le patch di sicurezza non vengono applicate correttamente.
Richiesta informazioni su certificazioni ISO,Vorrei informazioni sulle certificazioni ISO possedute.
Errore di sincronizzazione ambienti,Gli ambienti non risultano sincronizzati correttamente.
Problema di gestione backup incrementali,I backup incrementali non vengono eseguiti correttamente.
Richiesta supporto per ottimizzazione database,Desideriamo supporto per ottimizzare le prestazioni del database.
Errore nella gestione delle configurazioni di rete,Le configurazioni di rete presentano errori.
Problema di disponibilità applicativa,L’applicazione non è sempre disponibile.
Richiesta consulenza su resilienza sistemi,Avremmo bisogno di una consulenza sulla resilienza dei sistemi.
Errore di gestione dei token di accesso,I token di accesso non vengono gestiti correttamente.
Problema di monitoraggio sicurezza,Il monitoraggio della sicurezza non rileva tutte le anomalie.
Richiesta supporto per gestione vulnerabilità,Abbiamo bisogno di supporto per la gestione delle vulnerabilità.
Errore di configurazione proxy,La configurazione del proxy presenta errori.
Problema di integrazione sistemi esterni,L’integrazione con sistemi esterni presenta criticità.
Richiesta informazioni su supporto dedicato,Vorrei informazioni sulle opzioni di supporto dedicato.
Errore nella gestione delle code asincrone,Le code asincrone non vengono gestite correttamente.
Problema di aggiornamento policy di accesso,Le policy di accesso non vengono aggiornate correttamente.
Richiesta supporto per gestione SLA,Desideriamo assistenza per la gestione degli SLA.
Errore di sincronizzazione dati in cloud,I dati in cloud non risultano sincronizzati correttamente.
Problema di controllo versioni,Il controllo delle versioni non funziona come previsto.
Richiesta consulenza su architetture cloud,Avremmo bisogno di una consulenza sulle architetture cloud.
Errore nella gestione delle risorse condivise,Le risorse condivise non vengono gestite correttamente.
Problema di disponibilità dei servizi critici,Alcuni servizi critici non risultano disponibili.
Richiesta informazioni su livelli di servizio,Vorrei informazioni sui livelli di servizio garantiti.
Errore di configurazione sicurezza applicativa,La sicurezza applicativa non è configurata correttamente.
Problema di gestione aggiornamenti automatici,Gli aggiornamenti automatici non funzionano come previsto.
Richiesta supporto per audit di sicurezza,Abbiamo bisogno di supporto per effettuare un audit di sicurezza.
Errore di avvio servizi secondari,I servizi secondari non si avviano correttamente.
Problema di affidabilità del sistema,Il sistema non garantisce un livello adeguato di affidabilità.
La piattaforma si è bloccata all’improvviso,La piattaforma di analisi dei dati si è bloccata all’improvviso mentre stavo lavorando su un progetto importante e ho perso tutte le modifiche non salvate.
Richiesta informazioni al supporto clienti,"Buongiorno, vi scrivo per avere maggiori informazioni su come migliorare le strategie digitali e rendere più efficienti i nostri processi."
Analisi dati per decisioni di investimento,Vi contatto perché sono interessato a capire come i vostri servizi di analisi dei dati possano supportare le decisioni di investimento.
Problemi nei servizi ospedalieri,"Si è verificato un problema nei servizi dell’ospedale legato al blocco dei dati multimediali, causando ritardi nelle attività quotidiane."
Segnalazione problema di sicurezza,"Buongiorno, vi segnalo una possibile criticità di sicurezza che ho notato nei vostri sistemi."
Non riesco ad accedere al sistema,Sto riscontrando problemi di accesso al sistema aziendale e non riesco ad autenticarmi correttamente.
Informazioni sulle soluzioni cloud,Vorrei ricevere qualche dettaglio in più sulle vostre soluzioni cloud per la gestione dei dati.
L’app continua a bloccarsi,Dopo l’ultimo aggiornamento l’applicazione si blocca spesso e diventa difficile lavorare.
Richiesta di supporto tecnico IT,Avrei bisogno di supporto tecnico per sistemare alcuni aspetti della nostra infrastruttura IT.
Difficoltà nell’integrare i dati,Stiamo avendo problemi nell’integrare dati provenienti da sistemi diversi all’interno della piattaforma.
Consulenza per analisi avanzate,Saremmo interessati a una consulenza su come utilizzare al meglio le analisi avanzate dei dati.
Servizio non disponibile,Il servizio risulta non disponibile senza alcun preavviso e questo sta creando disagi operativi.
Bug nel software,Ho notato un bug nel software che produce risultati incoerenti durante l’elaborazione dei dati.
Richiesta di una demo del prodotto,Sarei interessato a vedere una demo del vostro prodotto per capirne meglio le funzionalità.
Possibile problema di sicurezza dei dati,Credo ci sia un problema di sicurezza che potrebbe mettere a rischio alcuni dati sensibili.
Il sistema è molto lento,"Negli ultimi giorni il sistema è diventato molto lento, soprattutto con operazioni complesse."
Quando arriva il prossimo aggiornamento?,Vorrei sapere quando sarà disponibile il prossimo aggiornamento del software.
Report con dati errati,I report generati dal sistema non sembrano coerenti con i dati originali.
Aiuto per la migrazione dei dati,Avremmo bisogno di supporto per spostare i dati da un vecchio sistema a uno nuovo.
Problemi di compatibilità,Stiamo riscontrando problemi di compatibilità tra il vostro software e i nostri sistemi.
Chiarimenti sui costi,Potreste darmi qualche informazione in più sui costi e sui piani disponibili?
Tentativo di accesso sospetto,Abbiamo rilevato un tentativo di accesso sospetto al sistema.
Dati non sincronizzati,I dati non risultano sincronizzati correttamente tra i vari moduli.
Supporto per utilizzo API,Avrei bisogno di aiuto per integrare correttamente le vostre API.
Backup non completato,Il backup automatico non viene completato e non capiamo il motivo.
Richiesta di formazione,Saremmo interessati a fare formazione per utilizzare meglio la piattaforma.
Errore durante l’aggiornamento,Durante l’aggiornamento del sistema si è verificato un errore critico.
Dati visualizzati in modo errato,Alcuni dati non vengono mostrati correttamente nelle dashboard.
Aiuto per analisi predittive,Vorrei supporto per implementare modelli di analisi predittiva.
Richiesta documentazione,Avrei bisogno della documentazione tecnica più aggiornata.
Problemi con i permessi utente,Alcuni utenti non riescono ad accedere a determinate funzionalità.
Anomalia nel sistema,Abbiamo rilevato un comportamento anomalo del sistema che va verificato.
Integrazioni disponibili,Vorrei sapere con quali sistemi esterni la piattaforma può integrarsi.
Errori nei log,Nei log di sistema compaiono spesso errori durante l’elaborazione.
Limiti di scalabilità,Con grandi volumi di dati la piattaforma sembra andare in difficoltà.
Supporto urgente necessario,Abbiamo un problema critico e avremmo bisogno di supporto urgente.
Errore di configurazione iniziale,Credo ci sia un errore nella configurazione iniziale del sistema.
Problemi di latenza,Stiamo riscontrando forti ritardi nella comunicazione tra i servizi.
Audit di sicurezza,Saremmo interessati a fare un audit di sicurezza sui nostri sistemi.
Permessi non applicati correttamente,Alcuni permessi non vengono applicati come dovrebbero.
Errore nell’esportazione dei dati,Non riusciamo a esportare correttamente i dati in formato CSV.
Consulenza IT,Vorremmo una consulenza IT per migliorare l’architettura attuale.
Problemi di connessione al database,Il sistema perde spesso la connessione con il database.
Dati non aggiornati,I dati non si aggiornano in tempo reale come ci aspettavamo.
Supporto avanzato richiesto,Abbiamo bisogno di un supporto più avanzato per una configurazione personalizzata.
Errore di validazione,Il sistema segnala errori di validazione anche quando i dati sono corretti.
Prestazioni del sistema insufficienti,Le prestazioni generali del sistema sono inferiori alle nostre aspettative.
Aggiornamenti di sicurezza disponibili,Vi scrivo per sapere se sono disponibili nuovi aggiornamenti di sicurezza per la piattaforma.
Problemi nella gestione delle code,Stiamo riscontrando problemi nella gestione delle code di elaborazione e alcuni processi restano bloccati.
Difficoltà di accesso da remoto,Alcuni colleghi non riescono ad accedere alla piattaforma quando lavorano da remoto.
Integrazione con sistemi ERP,Vorrei avere maggiori informazioni su come integrare la piattaforma con il nostro sistema ERP.
Ricerche lente sui dati,"Le ricerche sui dati sono molto lente, probabilmente a causa di problemi di indicizzazione."
Problemi su dispositivi mobili,La piattaforma non funziona correttamente quando viene usata da smartphone o tablet.
Automazione dei processi,Vorremmo automatizzare alcuni processi operativi e avremmo bisogno di supporto.
Ruoli utente non assegnati,I ruoli degli utenti non vengono assegnati correttamente all’interno del sistema.
Dashboard non aggiornate,Le dashboard non si aggiornano in tempo reale come dovrebbero.
Funzionalità di intelligenza artificiale,Mi piacerebbe capire meglio quali funzionalità di intelligenza artificiale offre il sistema.
Errori nei dati inseriti,Il sistema segnala errori anche quando i dati inseriti sembrano corretti.
Consumo eccessivo di risorse,L’applicazione utilizza troppe risorse e rallenta il lavoro.
Ambienti di test separati,Avremmo bisogno di configurare ambienti di test separati da quelli di produzione.
Replica del database non funzionante,La replica del database non sembra funzionare correttamente.
Gestione delle versioni,Abbiamo difficoltà a gestire le diverse versioni del software.
Prossimi aggiornamenti del prodotto,Vorrei sapere quali aggiornamenti sono previsti per il prodotto.
Problemi di archiviazione dati,Stiamo riscontrando errori durante i processi di archiviazione dei dati.
Compatibilità con sistemi operativi,La piattaforma non funziona bene su alcuni sistemi operativi.
Sicurezza dei dati archiviati,Vorremmo migliorare la sicurezza dei dati che archiviamo nel sistema.
Gestione delle eccezioni,Il sistema non gestisce correttamente alcune situazioni di errore.
Lentezza del database,Il database risponde molto lentamente alle query.
Consulenza sulla data governance,Avremmo bisogno di una consulenza sulle politiche di gestione dei dati.
Aggiornamento firmware fallito,L’aggiornamento del firmware non va a buon fine.
Problemi di logging,Il sistema di logging non registra tutte le informazioni necessarie.
Interoperabilità con altri sistemi,Vorrei capire come rendere il sistema interoperabile con altre piattaforme.
Cluster configurato male,Il cluster sembra non essere configurato correttamente.
Failover non funzionante,Il sistema di failover non entra in funzione quando dovrebbe.
Alta disponibilità del sistema,Avremmo bisogno di aiuto per configurare una soluzione di alta disponibilità.
Sincronizzazione utenti,La sincronizzazione degli utenti tra i sistemi non funziona correttamente.
Criticità di sicurezza,Sono state individuate alcune criticità di sicurezza nell’applicazione.
Certificazioni di sicurezza,Vorrei informazioni sulle certificazioni di sicurezza possedute.
Interfaccia non caricata,L’interfaccia utente non si carica correttamente.
Problemi di cache,La cache causa la visualizzazione di dati non aggiornati.
Analisi big data,Avremmo bisogno di supporto per progetti di analisi big data.
Errori nella normalizzazione dei dati,I processi di normalizzazione dei dati producono errori.
Configurazione firewall,Ci sono problemi nella configurazione del firewall.
Funzionalità di machine learning,Vorrei maggiori dettagli sulle funzionalità di machine learning disponibili.
Accesso ai log negato,Non riusciamo ad accedere correttamente ai log di sistema.
Gestione delle patch,Le patch di sistema non vengono applicate correttamente.
Integrazione continua,Avremmo bisogno di aiuto per implementare pipeline di integrazione continua.
Errori di allocazione risorse,Si verificano errori nell’allocazione delle risorse.
Servizio instabile,Il servizio non è stabile e presenta frequenti interruzioni.
Consulenza sulla sicurezza IT,Vorremmo una consulenza approfondita sulla sicurezza IT.
Problemi con i certificati digitali,Il sistema non gestisce correttamente i certificati digitali.
Tracciabilità dei dati,Non riusciamo a garantire una corretta tracciabilità dei dati.
Supporto premium,Vorrei informazioni sulle opzioni di supporto premium.
Applicazione non si avvia,Dopo l’installazione l’applicazione non si avvia correttamente.
Aiuto per gestire gli incidenti,Vi contatto perché avremmo bisogno di supporto per gestire in modo più efficace gli incidenti di sistema.
Backup programmati non funzionano,I backup automatici non vengono eseguiti correttamente secondo la pianificazione.
Impossibile accedere ai report,Alcuni colleghi non riescono ad aprire i report disponibili sulla piattaforma.
Crittografia dei dati,Vorrei qualche informazione in più su come vengono crittografati e protetti i dati.
Errori nelle transazioni,Stiamo riscontrando errori nella gestione delle transazioni del sistema.
Modelli analitici non aggiornati,I modelli di analisi non si aggiornano correttamente con i nuovi dati.
Orchestrazione dei servizi,Avremmo bisogno di supporto per gestire meglio l’orchestrazione dei servizi.
Configurazioni non valide,Alcune configurazioni non vengono accettate dal sistema.
Ambienti non isolati correttamente,Gli ambienti di test e produzione non sembrano essere isolati come dovrebbero.
Audit interni,Vorrei informazioni sulle procedure di audit interno disponibili.
Workflow che non partono,I workflow configurati non vengono eseguiti correttamente.
Problemi nell’archiviazione documenti,Stiamo avendo difficoltà nell’archiviazione dei documenti.
Migliorare la qualità dei dati,Vorremmo supporto per migliorare la qualità dei dati che utilizziamo.
Replica dei servizi non funzionante,La replica dei servizi non funziona come previsto.
Problemi con l’hardware,La piattaforma presenta problemi con alcune configurazioni hardware.
Soluzioni di disaster recovery,Vorrei maggiori dettagli sulle soluzioni di disaster recovery disponibili.
Configurazioni dinamiche non applicate,Le configurazioni dinamiche non vengono applicate correttamente.
Bilanciamento del carico inefficace,Il bilanciamento del carico non distribuisce bene le richieste.
Controllo degli accessi,Avremmo bisogno di supporto per migliorare il controllo degli accessi.
Errori nella validazione dei dati,I processi di validazione dei dati restituiscono risultati errati.
Metadati non aggiornati,I metadati non vengono aggiornati correttamente.
Conformità alle normative,Vorrei informazioni sulla conformità della piattaforma alle normative.
Configurazioni non sincronizzate,Le configurazioni non sono sincronizzate tra i vari ambienti.
Problemi con le dipendenze software,Stiamo riscontrando problemi nella gestione delle dipendenze software.
Ottimizzazione dei costi,Vorremmo supporto per ottimizzare i costi dell’infrastruttura.
Code di messaggi bloccate,Le code di messaggi non vengono elaborate correttamente.
Servizio non sempre disponibile,Il servizio non è sempre disponibile durante l’orario di lavoro.
Scalabilità del sistema,Avremmo bisogno di una consulenza per migliorare la scalabilità del sistema.
Policy di sicurezza non aggiornate,Le policy di sicurezza non vengono aggiornate correttamente.
Eventi non tracciati,Il sistema non traccia correttamente tutti gli eventi.
Sicurezza perimetrale,Vorremmo migliorare la sicurezza perimetrale dei nostri sistemi.
Problemi di storage,Stiamo riscontrando errori nella configurazione dello storage.
Snapshot non funzionanti,La gestione delle snapshot non funziona correttamente.
Standard di sicurezza adottati,Vorrei informazioni sugli standard di sicurezza che adottate.
Notifiche critiche mancanti,Le notifiche critiche non vengono inviate correttamente.
Incongruenze nelle configurazioni,Abbiamo notato alcune incongruenze nelle configurazioni.
Migrazione verso il cloud,Avremmo bisogno di supporto per la migrazione dei sistemi verso il cloud.
Spazio disco insufficiente,Si verificano errori legati all’allocazione dello spazio disco.
Monitoraggio delle prestazioni,Il monitoraggio delle prestazioni non sembra fornire dati affidabili.
Supporto attivo 24/7,Vorrei informazioni sulle opzioni di supporto attivo 24 ore su 24.
Gestione delle credenziali,Il sistema non gestisce correttamente le credenziali di accesso.
Sicurezza dell’infrastruttura,Sono emerse alcune criticità nella sicurezza dell’infrastruttura.
Continuità operativa,Avremmo bisogno di una consulenza sulla continuità operativa.
Log non sincronizzati,I log non vengono sincronizzati correttamente tra i sistemi.
Configurazioni centralizzate,La gestione centralizzata delle configurazioni presenta problemi.
Piani di servizio disponibili,Vorrei informazioni sui diversi piani di servizio disponibili.
Arresto anomalo del servizio,Il servizio si arresta improvvisamente senza preavviso.
Richiesta aggiornamento preventivo,Avremmo bisogno di un aggiornamento del preventivo inviato in precedenza.
Offerta scaduta,"L’offerta ricevuta risulta scaduta, è possibile rinnovarla?"
Chiarimenti su tempi di risposta,Vorrei sapere quali sono i tempi di risposta previsti dopo l’invio di un preventivo.
Richiesta confronto offerte,Vorremmo confrontare diverse opzioni di offerta disponibili.
Problema con codice sconto,Il codice sconto ricevuto non sembra funzionare correttamente.
Richiesta condizioni per grandi volumi,Potete applicare condizioni particolari per grandi volumi di acquisto?
Errore quantità in ordine,La quantità indicata nell’ordine non è corretta.
Modifica indirizzo di consegna,Avremmo bisogno di modificare l’indirizzo di consegna dell’ordine.
Richiesta conferma prezzi,Potete confermare che i prezzi indicati siano definitivi?
Chiarimenti su validità offerta,Fino a quando resta valida l’offerta commerciale?
Problema con ordine online,Abbiamo riscontrato un problema durante l’invio di un ordine online.
Richiesta contatto post-vendita,Avrei bisogno di parlare con un referente commerciale post-vendita.
Errore nel riepilogo ordine,Il riepilogo dell’ordine presenta informazioni errate.
Richiesta upgrade contratto,Vorremmo effettuare un upgrade del contratto attuale.
Informazioni su nuovi prodotti,Siamo interessati a conoscere i nuovi prodotti disponibili.
Problema con sconto applicato,Lo sconto applicato non corrisponde a quanto concordato.
Richiesta modifica condizioni,Vorremmo modificare alcune condizioni commerciali.
Ordine bloccato,L’ordine risulta bloccato e non sappiamo come procedere.
Chiarimenti su penali di recesso,Vorrei maggiori dettagli sulle penali in caso di recesso anticipato.
Richiesta consulenza commerciale,Avremmo bisogno di una consulenza commerciale dedicata.
Errore prezzo unitario,Il prezzo unitario indicato non è corretto.
Richiesta proroga offerta,È possibile prorogare la validità dell’offerta?
Problema con rinnovo automatico,Il rinnovo automatico del servizio non è avvenuto come previsto.
Richiesta adeguamento prezzi,Vorremmo discutere un adeguamento dei prezzi.
Chiarimenti su servizi opzionali,Vorrei informazioni sui servizi opzionali disponibili.
Errore descrizione prodotto,La descrizione del prodotto in offerta non è corretta.
Richiesta nuova proposta,Potete inviarci una nuova proposta commerciale?
Ordine parzialmente evaso,L’ordine risulta solo parzialmente evaso.
Problema con conferma ordine,Non abbiamo ricevuto la conferma dell’ordine.
Richiesta variazione quantità,Vorremmo variare le quantità ordinate.
Chiarimenti su costi aggiuntivi,Sono previsti costi aggiuntivi rispetto a quanto indicato?
Errore totale ordine,Il totale dell’ordine non è corretto.
Richiesta assistenza commerciale urgente,Avremmo bisogno di assistenza commerciale urgente.
Problema con contratto attivo,Stiamo riscontrando un problema con un contratto attivo.
Richiesta estensione servizi,Vorremmo estendere i servizi inclusi nel contratto.
Chiarimenti su modalità di fatturazione,Vorrei chiarimenti sulle modalità di fatturazione commerciale.
Errore configurazione ordine,L’ordine risulta configurato in modo errato.
Richiesta nuovo listino,Potete inviarci il nuovo listino prezzi?
Problema con offerte multiple,Abbiamo ricevuto più offerte e non sappiamo quale sia valida.
Richiesta revisione condizioni,Vorremmo rivedere alcune condizioni dell’accordo.
Errore applicazione promozione,La promozione non è stata applicata correttamente.
Richiesta informazioni su bundle,Vorrei informazioni su eventuali bundle disponibili.
Problema con upgrade servizio,L’upgrade richiesto non è stato applicato.
Richiesta verifica stato trattativa,Potete aggiornarmi sullo stato della trattativa commerciale?
Chiarimenti su clausole contrattuali,Avrei bisogno di chiarimenti su alcune clausole del contratto.
Errore canone mensile,Il canone mensile indicato non è corretto.
Richiesta supporto pre-vendita,Avrei bisogno di supporto pre-vendita per valutare l’offerta.
Problema con condizioni concordate,Le condizioni applicate non corrispondono a quelle concordate.
Candidatura spontanea,"Buongiorno, vi invio il mio curriculum per una possibile opportunità lavorativa."
Invio CV per posizione aperta,Ho visto una posizione aperta sul vostro sito e vi mando il mio CV in allegato.
Richiesta colloquio conoscitivo,Sarei interessato a un colloquio conoscitivo per valutare possibili collaborazioni.
Contatto diretto con CEO,È possibile parlare direttamente con il CEO per una proposta importante?
Richiesta stage,Sono uno studente universitario e vorrei sapere se offrite opportunità di stage.
Domanda su ambiente di lavoro,Vorrei avere informazioni sull’ambiente di lavoro e sulla cultura aziendale.
Richiesta sponsorizzazione evento,Stiamo organizzando un evento e vorremmo sapere se siete interessati a sponsorizzarlo.
Proposta di partnership non commerciale,Vi scrivo per proporre una collaborazione a livello istituzionale.
Invio candidatura per ufficio HR,Invio il mio curriculum per il reparto risorse umane.
Richiesta informazioni su carriera,Vorrei sapere quali sono le opportunità di carriera nella vostra azienda.
Segnalazione generica,Volevo solo segnalare che seguo con interesse le vostre attività.
Richiesta contatto stampa,Sono un giornalista e vorrei mettermi in contatto con il vostro ufficio stampa.
Invito a conferenza,Siete invitati come ospiti a una conferenza di settore.
Proposta di collaborazione accademica,Vi scrivo per proporre una collaborazione accademica con la nostra università.
Richiesta testimonial,Sareste disponibili a partecipare come testimonial a un nostro progetto?
Domanda su politica aziendale,Vorrei informazioni sulla vostra politica aziendale interna.
Segnalazione candidatura già inviata,Vi scrivo per confermare l’invio della mia candidatura.
Richiesta incontro istituzionale,Vorrei richiedere un incontro istituzionale con un vostro rappresentante.
Proposta editoriale,Vi contatto per proporvi una collaborazione editoriale.
Invio progetto personale,Vi mando un mio progetto personale per una vostra valutazione.
Richiesta mentoring,Sarei interessato a un percorso di mentoring professionale.
Domanda su smart working,Vorrei sapere se adottate politiche di smart working.
Richiesta lettera di referenze,È possibile ottenere una lettera di referenze?
Proposta pubblicitaria,Vi scrivo per proporvi una campagna pubblicitaria.
Domanda su selezioni in corso,Vorrei sapere se sono in corso selezioni aperte.
Richiesta supporto non specifico,Ho un problema ma non so a chi rivolgermi.
Invio candidatura per posizione non specificata,Invio il mio CV per future opportunità.
Richiesta partecipazione a evento aziendale,È possibile partecipare a un vostro evento aziendale?
Domanda su sede aziendale,Vorrei sapere dove si trova la vostra sede principale.
Richiesta visita aziendale,Sarebbe possibile organizzare una visita presso la vostra azienda?
Proposta di volontariato,Vi contatto per proporre attività di volontariato aziendale.
Domanda su valori aziendali,Vorrei maggiori informazioni sui vostri valori aziendali.
Richiesta intervista,Sarebbe possibile organizzare un’intervista con un vostro dirigente?
Segnalazione generica senza dettagli,Vi scrivo per una segnalazione generica.
Proposta di evento culturale,Vorremmo invitarvi a partecipare a un evento culturale.
Richiesta contatto generico,Chiedo di essere ricontattato.
Invio candidatura fuori profilo,Invio il mio CV anche se non ho trovato posizioni adatte.
Domanda su organigramma,Vorrei informazioni sull’organigramma aziendale.
Proposta di collaborazione artistica,Vi scrivo per proporre una collaborazione artistica.
Richiesta patrocinio,Chiediamo il patrocinio per una nostra iniziativa.
Domanda su fondazione aziendale,Avete una fondazione o attività di responsabilità sociale?
Invio presentazione personale,Vi mando una presentazione personale per conoscenza.
Richiesta supporto personale,Ho una richiesta personale non legata ai vostri servizi.
Proposta di intervista podcast,Vorremmo intervistare un vostro rappresentante per un podcast.
Richiesta informazioni generiche,Vorrei semplici informazioni generali sulla vostra azienda.
Invio candidatura tardiva,Invio la mia candidatura anche se la selezione è chiusa.
Proposta di networking,Vi scrivo per una proposta di networking professionale.
Richiesta contatto HR,Vorrei essere messo in contatto con il reparto HR.
