id,title,body,category,priority
336,Problemi nella gestione delle code,Stiamo riscontrando problemi nella gestione delle code di elaborazione e alcuni processi restano bloccati.,Tecnico,media
337,Difficoltà di accesso da remoto,Alcuni colleghi non riescono ad accedere alla piattaforma quando lavorano da remoto.,Tecnico,media
338,Integrazione con sistemi ERP,Vorrei avere maggiori informazioni su come integrare la piattaforma con il nostro sistema ERP.,Tecnico,media
339,Ricerche lente sui dati,"Le ricerche sui dati sono molto lente, probabilmente a causa di problemi di indicizzazione.",Tecnico,media
340,Problemi su dispositivi mobili,La piattaforma non funziona correttamente quando viene usata da smartphone o tablet.,Tecnico,alta
341,Automazione dei processi,Vorremmo automatizzare alcuni processi operativi e avremmo bisogno di supporto.,Tecnico,media
342,Ruoli utente non assegnati,I ruoli degli utenti non vengono assegnati correttamente all’interno del sistema.,Tecnico,media
343,Dashboard non aggiornate,Le dashboard non si aggiornano in tempo reale come dovrebbero.,Tecnico,media
344,Funzionalità di intelligenza artificiale,Mi piacerebbe capire meglio quali funzionalità di intelligenza artificiale offre il sistema.,Tecnico,media
345,Errori nei dati inseriti,Il sistema segnala errori anche quando i dati inseriti sembrano corretti.,Tecnico,media
346,Consumo eccessivo di risorse,L’applicazione utilizza troppe risorse e rallenta il lavoro.,Tecnico,media
347,Ambienti di test separati,Avremmo bisogno di configurare ambienti di test separati da quelli di produzione.,Tecnico,media
348,Replica del database non funzionante,La replica del database non sembra funzionare correttamente.,Tecnico,alta
349,Gestione delle versioni,Abbiamo difficoltà a gestire le diverse versioni del software.,Tecnico,media
350,Prossimi aggiornamenti del prodotto,Vorrei sapere quali aggiornamenti sono previsti per il prodotto.,Tecnico,media
351,Problemi di archiviazione dati,Stiamo riscontrando errori durante i processi di archiviazione dei dati.,Tecnico,media
352,Compatibilità con sistemi operativi,La piattaforma non funziona bene su alcuni sistemi operativi.,Tecnico,alta
353,Sicurezza dei dati archiviati,Vorremmo migliorare la sicurezza dei dati che archiviamo nel sistema.,Tecnico,media
354,Gestione delle eccezioni,Il sistema non gestisce correttamente alcune situazioni di errore.,Tecnico,media
355,Lentezza del database,Il database risponde molto lentamente alle query.,Tecnico,media
356,Consulenza sulla data governance,Avremmo bisogno di una consulenza sulle politiche di gestione dei dati.,Tecnico,media
357,Aggiornamento firmware fallito,L’aggiornamento del firmware non va a buon fine.,Tecnico,media
358,Problemi di logging,Il sistema di logging non registra tutte le informazioni necessarie.,Tecnico,media
359,Interoperabilità con altri sistemi,Vorrei capire come rendere il sistema interoperabile con altre piattaforme.,Tecnico,media
360,Cluster configurato male,Il cluster sembra non essere configurato correttamente.,Tecnico,media
361,Failover non funzionante,Il sistema di failover non entra in funzione quando dovrebbe.,Tecnico,alta
362,Alta disponibilità del sistema,Avremmo bisogno di aiuto per configurare una soluzione di alta disponibilità.,Tecnico,media
363,Sincronizzazione utenti,La sincronizzazione degli utenti tra i sistemi non funziona correttamente.,Tecnico,alta
364,Criticità di sicurezza,Sono state individuate alcune criticità di sicurezza nell’applicazione.,Tecnico,media
365,Certificazioni di sicurezza,Vorrei informazioni sulle certificazioni di sicurezza possedute.,Tecnico,media
366,Interfaccia non caricata,L’interfaccia utente non si carica correttamente.,Tecnico,media
367,Problemi di cache,La cache causa la visualizzazione di dati non aggiornati.,Tecnico,media
368,Analisi big data,Avremmo bisogno di supporto per progetti di analisi big data.,Tecnico,media
369,Errori nella normalizzazione dei dati,I processi di normalizzazione dei dati producono errori.,Tecnico,media
370,Configurazione firewall,Ci sono problemi nella configurazione del firewall.,Tecnico,media
371,Funzionalità di machine learning,Vorrei maggiori dettagli sulle funzionalità di machine learning disponibili.,Tecnico,media
372,Accesso ai log negato,Non riusciamo ad accedere correttamente ai log di sistema.,Tecnico,media
373,Gestione delle patch,Le patch di sistema non vengono applicate correttamente.,Tecnico,media
374,Integrazione continua,Avremmo bisogno di aiuto per implementare pipeline di integrazione continua.,Tecnico,media
375,Errori di allocazione risorse,Si verificano errori nell’allocazione delle risorse.,Tecnico,media
376,Servizio instabile,Il servizio non è stabile e presenta frequenti interruzioni.,Tecnico,media
377,Consulenza sulla sicurezza IT,Vorremmo una consulenza approfondita sulla sicurezza IT.,Tecnico,media
378,Problemi con i certificati digitali,Il sistema non gestisce correttamente i certificati digitali.,Tecnico,media
379,Tracciabilità dei dati,Non riusciamo a garantire una corretta tracciabilità dei dati.,Tecnico,media
380,Supporto premium,Vorrei informazioni sulle opzioni di supporto premium.,Tecnico,media
381,Applicazione non si avvia,Dopo l’installazione l’applicazione non si avvia correttamente.,Tecnico,media
382,Aiuto per gestire gli incidenti,Vi contatto perché avremmo bisogno di supporto per gestire in modo più efficace gli incidenti di sistema.,Tecnico,media
383,Backup programmati non funzionano,I backup automatici non vengono eseguiti correttamente secondo la pianificazione.,Tecnico,alta
384,Impossibile accedere ai report,Alcuni colleghi non riescono ad aprire i report disponibili sulla piattaforma.,Tecnico,alta
385,Crittografia dei dati,Vorrei qualche informazione in più su come vengono crittografati e protetti i dati.,Tecnico,bassa
386,Errori nelle transazioni,Stiamo riscontrando errori nella gestione delle transazioni del sistema.,Tecnico,media
387,Modelli analitici non aggiornati,I modelli di analisi non si aggiornano correttamente con i nuovi dati.,Tecnico,media
388,Orchestrazione dei servizi,Avremmo bisogno di supporto per gestire meglio l’orchestrazione dei servizi.,Tecnico,media
389,Configurazioni non valide,Alcune configurazioni non vengono accettate dal sistema.,Tecnico,media
390,Ambienti non isolati correttamente,Gli ambienti di test e produzione non sembrano essere isolati come dovrebbero.,Tecnico,media
391,Audit interni,Vorrei informazioni sulle procedure di audit interno disponibili.,Tecnico,media
392,Workflow che non partono,I workflow configurati non vengono eseguiti correttamente.,Tecnico,media
393,Problemi nell’archiviazione documenti,Stiamo avendo difficoltà nell’archiviazione dei documenti.,Tecnico,media
394,Migliorare la qualità dei dati,Vorremmo supporto per migliorare la qualità dei dati che utilizziamo.,Tecnico,media
395,Replica dei servizi non funzionante,La replica dei servizi non funziona come previsto.,Tecnico,alta
396,Problemi con l’hardware,La piattaforma presenta problemi con alcune configurazioni hardware.,Tecnico,media
397,Soluzioni di disaster recovery,Vorrei maggiori dettagli sulle soluzioni di disaster recovery disponibili.,Tecnico,media
398,Configurazioni dinamiche non applicate,Le configurazioni dinamiche non vengono applicate correttamente.,Tecnico,media
399,Bilanciamento del carico inefficace,Il bilanciamento del carico non distribuisce bene le richieste.,Tecnico,media
400,Controllo degli accessi,Avremmo bisogno di supporto per migliorare il controllo degli accessi.,Tecnico,media
401,Errori nella validazione dei dati,I processi di validazione dei dati restituiscono risultati errati.,Tecnico,media
402,Metadati non aggiornati,I metadati non vengono aggiornati correttamente.,Tecnico,media
403,Conformità alle normative,Vorrei informazioni sulla conformità della piattaforma alle normative.,Tecnico,media
404,Configurazioni non sincronizzate,Le configurazioni non sono sincronizzate tra i vari ambienti.,Tecnico,media
405,Problemi con le dipendenze software,Stiamo riscontrando problemi nella gestione delle dipendenze software.,Tecnico,media
406,Ottimizzazione dei costi,Vorremmo supporto per ottimizzare i costi dell’infrastruttura.,Tecnico,media
407,Code di messaggi bloccate,Le code di messaggi non vengono elaborate correttamente.,Tecnico,media
408,Servizio non sempre disponibile,Il servizio non è sempre disponibile durante l’orario di lavoro.,Tecnico,media
409,Scalabilità del sistema,Avremmo bisogno di una consulenza per migliorare la scalabilità del sistema.,Tecnico,media
410,Policy di sicurezza non aggiornate,Le policy di sicurezza non vengono aggiornate correttamente.,Tecnico,media
411,Eventi non tracciati,Il sistema non traccia correttamente tutti gli eventi.,Tecnico,media
412,Sicurezza perimetrale,Vorremmo migliorare la sicurezza perimetrale dei nostri sistemi.,Tecnico,media
413,Problemi di storage,Stiamo riscontrando errori nella configurazione dello storage.,Tecnico,media
414,Snapshot non funzionanti,La gestione delle snapshot non funziona correttamente.,Tecnico,alta
415,Standard di sicurezza adottati,Vorrei informazioni sugli standard di sicurezza che adottate.,Tecnico,media
416,Notifiche critiche mancanti,Le notifiche critiche non vengono inviate correttamente.,Tecnico,media
417,Incongruenze nelle configurazioni,Abbiamo notato alcune incongruenze nelle configurazioni.,Tecnico,media
418,Migrazione verso il cloud,Avremmo bisogno di supporto per la migrazione dei sistemi verso il cloud.,Tecnico,media
419,Spazio disco insufficiente,Si verificano errori legati all’allocazione dello spazio disco.,Tecnico,media
420,Monitoraggio delle prestazioni,Il monitoraggio delle prestazioni non sembra fornire dati affidabili.,Tecnico,media
421,Supporto attivo 24/7,Vorrei informazioni sulle opzioni di supporto attivo 24 ore su 24.,Tecnico,media
422,Gestione delle credenziali,Il sistema non gestisce correttamente le credenziali di accesso.,Tecnico,media
423,Sicurezza dell’infrastruttura,Sono emerse alcune criticità nella sicurezza dell’infrastruttura.,Tecnico,media
424,Continuità operativa,Avremmo bisogno di una consulenza sulla continuità operativa.,Amministrazione,media
425,Log non sincronizzati,I log non vengono sincronizzati correttamente tra i sistemi.,Tecnico,media
426,Configurazioni centralizzate,La gestione centralizzata delle configurazioni presenta problemi.,Tecnico,media
427,Piani di servizio disponibili,Vorrei informazioni sui diversi piani di servizio disponibili.,Tecnico,media
428,Arresto anomalo del servizio,Il servizio si arresta improvvisamente senza preavviso.,Tecnico,media
429,Richiesta aggiornamento preventivo,Avremmo bisogno di un aggiornamento del preventivo inviato in precedenza.,Commerciale,bassa
430,Offerta scaduta,"L’offerta ricevuta risulta scaduta, è possibile rinnovarla?",Commerciale,media
431,Chiarimenti su tempi di risposta,Vorrei sapere quali sono i tempi di risposta previsti dopo l’invio di un preventivo.,Commerciale,media
432,Richiesta confronto offerte,Vorremmo confrontare diverse opzioni di offerta disponibili.,Commerciale,bassa
433,Problema con codice sconto,Il codice sconto ricevuto non sembra funzionare correttamente.,Tecnico,media
434,Richiesta condizioni per grandi volumi,Potete applicare condizioni particolari per grandi volumi di acquisto?,Commerciale,bassa
435,Errore quantità in ordine,La quantità indicata nell’ordine non è corretta.,Tecnico,media
436,Modifica indirizzo di consegna,Avremmo bisogno di modificare l’indirizzo di consegna dell’ordine.,Commerciale,media
437,Richiesta conferma prezzi,Potete confermare che i prezzi indicati siano definitivi?,Tecnico,bassa
438,Chiarimenti su validità offerta,Fino a quando resta valida l’offerta commerciale?,Commerciale,media
439,Problema con ordine online,Abbiamo riscontrato un problema durante l’invio di un ordine online.,Tecnico,media
440,Richiesta contatto post-vendita,Avrei bisogno di parlare con un referente commerciale post-vendita.,Commerciale,bassa
441,Errore nel riepilogo ordine,Il riepilogo dell’ordine presenta informazioni errate.,Tecnico,media
442,Richiesta upgrade contratto,Vorremmo effettuare un upgrade del contratto attuale.,Commerciale,bassa
443,Informazioni su nuovi prodotti,Siamo interessati a conoscere i nuovi prodotti disponibili.,Tecnico,media
444,Problema con sconto applicato,Lo sconto applicato non corrisponde a quanto concordato.,Tecnico,media
445,Richiesta modifica condizioni,Vorremmo modificare alcune condizioni commerciali.,Tecnico,bassa
446,Ordine bloccato,L’ordine risulta bloccato e non sappiamo come procedere.,Commerciale,media
447,Chiarimenti su penali di recesso,Vorrei maggiori dettagli sulle penali in caso di recesso anticipato.,Tecnico,media
448,Richiesta consulenza commerciale,Avremmo bisogno di una consulenza commerciale dedicata.,Commerciale,bassa
449,Errore prezzo unitario,Il prezzo unitario indicato non è corretto.,Tecnico,media
450,Richiesta proroga offerta,È possibile prorogare la validità dell’offerta?,Commerciale,bassa
451,Problema con rinnovo automatico,Il rinnovo automatico del servizio non è avvenuto come previsto.,Tecnico,media
452,Richiesta adeguamento prezzi,Vorremmo discutere un adeguamento dei prezzi.,Tecnico,bassa
453,Chiarimenti su servizi opzionali,Vorrei informazioni sui servizi opzionali disponibili.,Tecnico,media
454,Errore descrizione prodotto,La descrizione del prodotto in offerta non è corretta.,Tecnico,media
455,Richiesta nuova proposta,Potete inviarci una nuova proposta commerciale?,Commerciale,bassa
456,Ordine parzialmente evaso,L’ordine risulta solo parzialmente evaso.,Commerciale,media
457,Problema con conferma ordine,Non abbiamo ricevuto la conferma dell’ordine.,Tecnico,media
458,Richiesta variazione quantità,Vorremmo variare le quantità ordinate.,Tecnico,bassa
459,Chiarimenti su costi aggiuntivi,Sono previsti costi aggiuntivi rispetto a quanto indicato?,Tecnico,media
460,Errore totale ordine,Il totale dell’ordine non è corretto.,Tecnico,media
461,Richiesta assistenza commerciale urgente,Avremmo bisogno di assistenza commerciale urgente.,Commerciale,alta
462,Problema con contratto attivo,Stiamo riscontrando un problema con un contratto attivo.,Tecnico,media
463,Richiesta estensione servizi,Vorremmo estendere i servizi inclusi nel contratto.,Commerciale,bassa
464,Chiarimenti su modalità di fatturazione,Vorrei chiarimenti sulle modalità di fatturazione commerciale.,Amministrazione,media
465,Errore configurazione ordine,L’ordine risulta configurato in modo errato.,Tecnico,media
466,Richiesta nuovo listino,Potete inviarci il nuovo listino prezzi?,Tecnico,bassa
467,Problema con offerte multiple,Abbiamo ricevuto più offerte e non sappiamo quale sia valida.,Tecnico,media
468,Richiesta revisione condizioni,Vorremmo rivedere alcune condizioni dell’accordo.,Tecnico,bassa
469,Errore applicazione promozione,La promozione non è stata applicata correttamente.,Tecnico,media
470,Richiesta informazioni su bundle,Vorrei informazioni su eventuali bundle disponibili.,Tecnico,bassa
471,Problema con upgrade servizio,L’upgrade richiesto non è stato applicato.,Tecnico,media
472,Richiesta verifica stato trattativa,Potete aggiornarmi sullo stato della trattativa commerciale?,Amministrazione,bassa
473,Chiarimenti su clausole contrattuali,Avrei bisogno di chiarimenti su alcune clausole del contratto.,Commerciale,media
474,Errore canone mensile,Il canone mensile indicato non è corretto.,Tecnico,media
475,Richiesta supporto pre-vendita,Avrei bisogno di supporto pre-vendita per valutare l’offerta.,Commerciale,bassa
476,Problema con condizioni concordate,Le condizioni applicate non corrispondono a quelle concordate.,Tecnico,media
477,Candidatura spontanea,"Buongiorno, vi invio il mio curriculum per una possibile opportunità lavorativa.",Amministrazione,media
478,Invio CV per posizione aperta,Ho visto una posizione aperta sul vostro sito e vi mando il mio CV in allegato.,Tecnico,media
479,Richiesta colloquio conoscitivo,Sarei interessato a un colloquio conoscitivo per valutare possibili collaborazioni.,Tecnico,bassa
480,Contatto diretto con CEO,È possibile parlare direttamente con il CEO per una proposta importante?,Tecnico,media
481,Richiesta stage,Sono uno studente universitario e vorrei sapere se offrite opportunità di stage.,Tecnico,bassa
482,Domanda su ambiente di lavoro,Vorrei avere informazioni sull’ambiente di lavoro e sulla cultura aziendale.,Tecnico,bassa
483,Richiesta sponsorizzazione evento,Stiamo organizzando un evento e vorremmo sapere se siete interessati a sponsorizzarlo.,Tecnico,bassa
484,Proposta di partnership non commerciale,Vi scrivo per proporre una collaborazione a livello istituzionale.,Commerciale,media
485,Invio candidatura per ufficio HR,Invio il mio curriculum per il reparto risorse umane.,Tecnico,media
486,Richiesta informazioni su carriera,Vorrei sapere quali sono le opportunità di carriera nella vostra azienda.,Tecnico,bassa
487,Segnalazione generica,Volevo solo segnalare che seguo con interesse le vostre attività.,Tecnico,media
488,Richiesta contatto stampa,Sono un giornalista e vorrei mettermi in contatto con il vostro ufficio stampa.,Tecnico,bassa
489,Invito a conferenza,Siete invitati come ospiti a una conferenza di settore.,Tecnico,media
490,Proposta di collaborazione accademica,Vi scrivo per proporre una collaborazione accademica con la nostra università.,Tecnico,media
491,Richiesta testimonial,Sareste disponibili a partecipare come testimonial a un nostro progetto?,Tecnico,bassa
492,Domanda su politica aziendale,Vorrei informazioni sulla vostra politica aziendale interna.,Tecnico,bassa
493,Segnalazione candidatura già inviata,Vi scrivo per confermare l’invio della mia candidatura.,Tecnico,media
494,Richiesta incontro istituzionale,Vorrei richiedere un incontro istituzionale con un vostro rappresentante.,Tecnico,bassa
495,Proposta editoriale,Vi contatto per proporvi una collaborazione editoriale.,Tecnico,media
496,Invio progetto personale,Vi mando un mio progetto personale per una vostra valutazione.,Tecnico,media
497,Richiesta mentoring,Sarei interessato a un percorso di mentoring professionale.,Tecnico,bassa
498,Domanda su smart working,Vorrei sapere se adottate politiche di smart working.,Tecnico,bassa
499,Richiesta lettera di referenze,È possibile ottenere una lettera di referenze?,Tecnico,bassa
500,Proposta pubblicitaria,Vi scrivo per proporvi una campagna pubblicitaria.,Tecnico,media
501,Domanda su selezioni in corso,Vorrei sapere se sono in corso selezioni aperte.,Tecnico,bassa
502,Richiesta supporto non specifico,Ho un problema ma non so a chi rivolgermi.,Tecnico,media
503,Invio candidatura per posizione non specificata,Invio il mio CV per future opportunità.,Tecnico,media
504,Richiesta partecipazione a evento aziendale,È possibile partecipare a un vostro evento aziendale?,Tecnico,bassa
505,Domanda su sede aziendale,Vorrei sapere dove si trova la vostra sede principale.,Tecnico,bassa
506,Richiesta visita aziendale,Sarebbe possibile organizzare una visita presso la vostra azienda?,Tecnico,bassa
507,Proposta di volontariato,Vi contatto per proporre attività di volontariato aziendale.,Tecnico,media
508,Domanda su valori aziendali,Vorrei maggiori informazioni sui vostri valori aziendali.,Tecnico,bassa
509,Richiesta intervista,Sarebbe possibile organizzare un’intervista con un vostro dirigente?,Tecnico,bassa
510,Segnalazione generica senza dettagli,Vi scrivo per una segnalazione generica.,Tecnico,media
511,Proposta di evento culturale,Vorremmo invitarvi a partecipare a un evento culturale.,Tecnico,media
512,Richiesta contatto generico,Chiedo di essere ricontattato.,Tecnico,bassa
513,Invio candidatura fuori profilo,Invio il mio CV anche se non ho trovato posizioni adatte.,Tecnico,media
514,Domanda su organigramma,Vorrei informazioni sull’organigramma aziendale.,Tecnico,bassa
515,Proposta di collaborazione artistica,Vi scrivo per proporre una collaborazione artistica.,Tecnico,media
516,Richiesta patrocinio,Chiediamo il patrocinio per una nostra iniziativa.,Amministrazione,bassa
517,Domanda su fondazione aziendale,Avete una fondazione o attività di responsabilità sociale?,Tecnico,bassa
518,Invio presentazione personale,Vi mando una presentazione personale per conoscenza.,Tecnico,media
519,Richiesta supporto personale,Ho una richiesta personale non legata ai vostri servizi.,Tecnico,bassa
520,Proposta di intervista podcast,Vorremmo intervistare un vostro rappresentante per un podcast.,Tecnico,media
521,Richiesta informazioni generiche,Vorrei semplici informazioni generali sulla vostra azienda.,Tecnico,bassa
522,Invio candidatura tardiva,Invio la mia candidatura anche se la selezione è chiusa.,Amministrazione,media
523,Proposta di networking,Vi scrivo per una proposta di networking professionale.,Tecnico,media
524,Richiesta contatto HR,Vorrei essere messo in contatto con il reparto HR.,Tecnico,bassa
